versuch_id	sample_id	plant_id	accession	plant_name	glucose	fructose	sucrose	raffinose	amino_acids	malate	fumarate	fumarate_withNAs	proline	LT50NAC	LT50ACC	bbch_id	antho_value	anthoscore	number1	date1	aliquot_id	date2	number2
105	81489	642852	El-0	[At.El-0.n].4.1-2	20.02484832	17.79626631	10.99427866	2.022262787	10.9808	27.84245489	3.545419849	3.545419849	0.082697285	NA	NA	51	mittel	3	12	01. Apr 09	642852	22. Jan 09	12
105	81490	642809	En-T	[At.Enkheim-T. n].2-1	20.85918102	17.24252548	9.018101933	1.794551845	6.3192	18.80478231	1.692675985	1.692675985	0.047343616	-6.1	-10.7	51	sehr hoch	5	50	01. Apr 09	642809	22. Jan 09	51
105	81491	642810	En-T	[At.Enkheim-T. n].2-2	9.690509061	8.770568369	6.857217463	0.964714992	10.3634	26.78724554	4.06650451	4.06650451	0.098693542	-6.1	-10.7	51	hoch	4	24	01. Apr 09	642810	22. Jan 09	12
105	81492	642849	Est-1	[At.Est-1.n].2.5-1	10.00276145	4.678042654	4.805227488	0.59863981	8.155	19.14609715	2.865589219	2.865589219	0.035229438	-6.436	-9.66	19	hoch	4	31	01. Apr 09	642849	22. Jan 09	31
105	81493	642850	Est-1	[At.Est-1.n].2.5-2	15.23312199	9.244393471	9.420302405	1.178627148	8.8659	13.30327816	2.217109564	2.217109564	0.032975912	-6.436	-9.66	19	hoch	4	15	01. Apr 09	642850	22. Jan 09	8
105	81494	642823	Ge-0	[At.Ge-0. n].2-1	16.1157837	16.0472163	7.672122257	1.260205329	4.0982	8.241819368	2.330239568	2.330239568	0.063022287	-5.069	-6.375	59	mittel	3	33	01. Apr 09	642823	22. Jan 09	36
105	81495	642824	Ge-0	[At.Ge-0. n].2-2	14.03830282	15.01558275	6.546309859	1.150052817	5.7399	13.42290732	2.041316398	2.041316398	0.067450489	-5.069	-6.375	55	gering	2	14	01. Apr 09	642824	22. Jan 09	11
105	81496	642847	Gol-1	[At.Gol-1.n].2.1-1	11.76758004	11.98706968	5.717173258	1.345608286	7.4503	13.46709084	6.250760033	6.250760033	0.04628004	NA	NA	51	sehr hoch	5	40	01. Apr 09	642847	22. Jan 09	39
105	81497	642848	Gol-1	[At.Gol-1.n].2.1-2	16.96663419	17.27693333	11.99515043	2.090495726	4.8897	18.08824719	0.639534016	0.639534016	0.070024456	NA	NA	51	sehr hoch	5	39	01. Apr 09	642848	22. Jan 09	36
105	81498	642770	Gr	[At.Gr.n].2-1	12.2273986	13.56388112	15.35127098	2.538337413	4.3018	10.84729545	-0.718903697	NA	0.049190734	NA	NA	51	hoch	4	37	01. Apr 09	642770	22. Jan 09	35
105	81499	642771	Gr	[At.Gr.n].2-2	8.779796078	11.3853902	9.167823529	1.834535294	8.0741	14.94943403	-2.987800705	NA	0.07926661	NA	NA	53	hoch	4	24	01. Apr 09	642771	22. Jan 09	7
