Datum	Schnee	Sonne	Temp	Monat	Jahr	Feld
26.3.2008	0	276	-1.4	März	2008	Feld2
27.3.2008	0	330	-4.6	März	2008	Feld2
28.3.2008	0	582	-2.8	März	2008	Feld2
29.3.2008	0	150	3.6	März	2008	Feld2
30.3.2008	0	162	-0.9	März	2008	Feld2
31.3.2008	0	450	2.3	März	2008	Feld2
1.4.2008	0	450	2.3	April	2008	Feld2
2.4.2008	0	162	3.1	April	2008	Feld2
3.4.2008	0	132	4.9	April	2008	Feld2
4.4.2008	0	48	0.4	April	2008	Feld2
5.4.2008	0	6	-1.3	April	2008	Feld2
6.4.2008	0	54	2.9	April	2008	Feld2
7.4.2008	0	48	-3	April	2008	Feld2
8.4.2008	0	414	1.3	April	2008	Feld2
9.4.2008	0	0	-1.4	April	2008	Feld2
10.4.2008	0	0	2.8	April	2008	Feld2
11.4.2008	0	0	3.5	April	2008	Feld2
12.4.2008	0	450	4.1	April	2008	Feld2
13.4.2008	0	432	2.3	April	2008	Feld2
14.4.2008	0	210	2.6	April	2008	Feld2
15.4.2008	0	0	6.8	April	2008	Feld2
16.4.2008	0	276	1.8	April	2008	Feld2
17.4.2008	0	0	2.2	April	2008	Feld2
18.4.2008	0	24	4.9	April	2008	Feld2
19.4.2008	0	444	-0.1	April	2008	Feld2
20.4.2008	0	402	-1	April	2008	Feld2
21.4.2008	0	702	0.1	April	2008	Feld2
22.4.2008	0	744	5.1	April	2008	Feld2
23.4.2008	0	654	1.1	April	2008	Feld2
24.4.2008	0	780	0.9	April	2008	Feld2
25.4.2008	0	306	5.5	April	2008	Feld2
26.4.2008	0	720	1.6	April	2008	Feld2
27.4.2008	0	690	3.5	April	2008	Feld2
28.4.2008	0	702	5.6	April	2008	Feld2
29.4.2008	0	0	10.5	April	2008	Feld2
30.4.2008	0	246	5.3	April	2008	Feld2
1.10.2008	0	60	9.3	Oktober	2008	Feld3
2.10.2008	0	510	5.5	Oktober	2008	Feld3
3.10.2008	0	312	3.3	Oktober	2008	Feld3
4.10.2008	0	366	-1	Oktober	2008	Feld3
5.10.2008	0	42	1.1	Oktober	2008	Feld3
6.10.2008	0	0	8.8	Oktober	2008	Feld3
7.10.2008	0	324	9	Oktober	2008	Feld3
8.10.2008	0	186	5.8	Oktober	2008	Feld3
9.10.2008	0	0	6.3	Oktober	2008	Feld3
10.10.2008	0	444	2.6	Oktober	2008	Feld3
11.10.2008	0	570	4.7	Oktober	2008	Feld3
12.10.2008	0	102	5.4	Oktober	2008	Feld3
13.10.2008	0	492	4.7	Oktober	2008	Feld3
14.10.2008	0	174	10	Oktober	2008	Feld3
15.10.2008	0	48	7.3	Oktober	2008	Feld3
16.10.2008	0	162	9.1	Oktober	2008	Feld3
17.10.2008	0	120	5	Oktober	2008	Feld3
18.10.2008	0	378	1.4	Oktober	2008	Feld3
19.10.2008	0	102	2.3	Oktober	2008	Feld3
20.10.2008	0	564	4.2	Oktober	2008	Feld3
21.10.2008	0	372	6.1	Oktober	2008	Feld3
22.10.2008	0	0	7.5	Oktober	2008	Feld3
23.10.2008	0	504	0.1	Oktober	2008	Feld3
24.10.2008	0	564	-0.6	Oktober	2008	Feld3
25.10.2008	0	6	4.7	Oktober	2008	Feld3
26.10.2008	0	132	2.5	Oktober	2008	Feld3
27.10.2008	0	0	9.2	Oktober	2008	Feld3
28.10.2008	0	126	0.6	Oktober	2008	Feld3
29.10.2008	0	0	4.7	Oktober	2008	Feld3
30.10.2008	0	0	3	Oktober	2008	Feld3
31.10.2008	0	204	0.1	Oktober	2008	Feld3
1.11.2008	0	234	0	November	2008	Feld3
2.11.2008	0	0	-0.2	November	2008	Feld3
3.11.2008	0	0	4.8	November	2008	Feld3
4.11.2008	0	0	7.6	November	2008	Feld3
5.11.2008	0	0	8.2	November	2008	Feld3
6.11.2008	0	0	9.6	November	2008	Feld3
7.11.2008	0	0	10.2	November	2008	Feld3
8.11.2008	0	0	4.9	November	2008	Feld3
9.11.2008	0	162	2.8	November	2008	Feld3
10.11.2008	0	6	5.6	November	2008	Feld3
11.11.2008	0	0	9.9	November	2008	Feld3
12.11.2008	0	228	0.7	November	2008	Feld3
13.11.2008	0	384	-1.3	November	2008	Feld3
14.11.2008	0	6	-1.8	November	2008	Feld3
15.11.2008	0	0	6.9	November	2008	Feld3
16.11.2008	0	228	5.3	November	2008	Feld3
17.11.2008	0	438	-1	November	2008	Feld3
18.11.2008	0	12	-2.7	November	2008	Feld3
19.11.2008	0	0	2.1	November	2008	Feld3
20.11.2008	0	0	7.1	November	2008	Feld3
21.11.2008	0	0	-1.3	November	2008	Feld3
22.11.2008	1	126	-4.8	November	2008	Feld3
23.11.2008	9	228	-7.3	November	2008	Feld3
24.11.2008	7	18	-8.9	November	2008	Feld3
25.11.2008	6	0	-8.3	November	2008	Feld3
26.11.2008	5	90	-7	November	2008	Feld3
27.11.2008	0	126	3.6	November	2008	Feld3
28.11.2008	0	126	1	November	2008	Feld3
29.11.2008	0	0	-3.5	November	2008	Feld3
30.11.2008	0	18	-4.2	November	2008	Feld3
1.12.2008	0	0	-3.7	Dezember	2008	Feld3
2.12.2008	0	36	1.4	Dezember	2008	Feld3
3.12.2008	0	18	-2.9	Dezember	2008	Feld3
4.12.2008	3	0	-6.9	Dezember	2008	Feld3
5.12.2008	0	36	-1.5	Dezember	2008	Feld3
6.12.2008	0	42	-1.9	Dezember	2008	Feld3
7.12.2008	0	0	2.9	Dezember	2008	Feld3
8.12.2008	0	6	2.1	Dezember	2008	Feld3
9.12.2008	0	162	-4.7	Dezember	2008	Feld3
10.12.2008	0	0	-0.5	Dezember	2008	Feld3
11.12.2008	0	0	0.5	Dezember	2008	Feld3
12.12.2008	3	0	-0.6	Dezember	2008	Feld3
13.12.2008	0	0	-0.2	Dezember	2008	Feld3
14.12.2008	0	12	1.3	Dezember	2008	Feld3
15.12.2008	0	0	1.5	Dezember	2008	Feld3
16.12.2008	0	0	2.1	Dezember	2008	Feld3
17.12.2008	0	0	1.9	Dezember	2008	Feld3
18.12.2008	0	0	0.2	Dezember	2008	Feld3
19.12.2008	0	18	-3.4	Dezember	2008	Feld3
20.12.2008	0	0	-0.8	Dezember	2008	Feld3
21.12.2008	0	36	1.1	Dezember	2008	Feld3
22.12.2008	0	114	5.8	Dezember	2008	Feld3
23.12.2008	0	48	1.1	Dezember	2008	Feld3
24.12.2008	0	0	-3.3	Dezember	2008	Feld3
25.12.2008	0	258	-3.4	Dezember	2008	Feld3
26.12.2008	0	240	-8	Dezember	2008	Feld3
27.12.2008	0	72	-3.8	Dezember	2008	Feld3
28.12.2008	0	366	-8.3	Dezember	2008	Feld3
29.12.2008	0	72	-8.4	Dezember	2008	Feld3
30.12.2008	0	396	-8.9	Dezember	2008	Feld3
31.12.2008	0	408	-10.4	Dezember	2008	Feld3
1.1.2009	0	0	-11.6	Januar	2009	Feld3
2.1.2009	1	60	-2.4	Januar	2009	Feld3
3.1.2009	2	114	-16.3	Januar	2009	Feld3
4.1.2009	3	0	-1.9	Januar	2009	Feld3
5.1.2009	16	372	-3.1	Januar	2009	Feld3
6.1.2009	14	450	-21.6	Januar	2009	Feld3
7.1.2009	12	0	-23.9	Januar	2009	Feld3
8.1.2009	11	78	-18	Januar	2009	Feld3
9.1.2009	11	60	-14	Januar	2009	Feld3
10.1.2009	11	0	-4	Januar	2009	Feld3
11.1.2009	10	450	-14.3	Januar	2009	Feld3
12.1.2009	10	450	-11.7	Januar	2009	Feld3
13.1.2009	10	66	-9.8	Januar	2009	Feld3
14.1.2009	9	168	-12.5	Januar	2009	Feld3
15.1.2009	9	0	-1.9	Januar	2009	Feld3
16.1.2009	6	0	-0.9	Januar	2009	Feld3
17.1.2009	6	120	-6.1	Januar	2009	Feld3
18.1.2009	5	216	-4.4	Januar	2009	Feld3
19.1.2009	3	270	-2.2	Januar	2009	Feld3
20.1.2009	2	0	-0.1	Januar	2009	Feld3
21.1.2009	0	0	-4	Januar	2009	Feld3
22.1.2009	0	450	-6.6	Januar	2009	Feld3
23.1.2009	0	126	-6.3	Januar	2009	Feld3
24.1.2009	0	18	-0.1	Januar	2009	Feld3
25.1.2009	0	354	-2.4	Januar	2009	Feld3
26.1.2009	0	6	-2.1	Januar	2009	Feld3
27.1.2009	0	30	-1.4	Januar	2009	Feld3
28.1.2009	0	0	-4.6	Januar	2009	Feld3
29.1.2009	0	0	-4	Januar	2009	Feld3
30.1.2009	0	0	-3.4	Januar	2009	Feld3
31.1.2009	0	12	-0.6	Januar	2009	Feld3
1.2.2009	1	0	-5.9	Feburar	2009	Feld3
2.2.2009	1	0	-2.2	Feburar	2009	Feld3
3.2.2009	0	0	-1.8	Feburar	2009	Feld3
4.2.2009	0	66	-0.1	Feburar	2009	Feld3
5.2.2009	0	246	-1.9	Feburar	2009	Feld3
6.2.2009	0	54	-2.1	Feburar	2009	Feld3
7.2.2009	0	0	-1.4	Feburar	2009	Feld3
8.2.2009	0	144	0	Feburar	2009	Feld3
9.2.2009	0	282	-4.4	Feburar	2009	Feld3
10.2.2009	1	6	-3.4	Feburar	2009	Feld3
11.2.2009	3	0	-0.3	Feburar	2009	Feld3
12.2.2009	4	0	-8.2	Feburar	2009	Feld3
13.2.2009	3	456	-9.1	Feburar	2009	Feld3
14.2.2009	2	186	-12.1	Feburar	2009	Feld3
15.2.2009	2	36	-7.5	Feburar	2009	Feld3
16.2.2009	8	0	-1.7	Feburar	2009	Feld3
17.2.2009	12	498	-15.8	Feburar	2009	Feld3
18.2.2009	11	162	-12.4	Feburar	2009	Feld3
19.2.2009	11	0	-8.3	Feburar	2009	Feld3
20.2.2009	15	0	-2.4	Feburar	2009	Feld3
21.2.2009	11	0	-2.2	Feburar	2009	Feld3
22.2.2009	13	0	-1.1	Feburar	2009	Feld3
23.2.2009	5	0	1.5	Feburar	2009	Feld3
24.2.2009	0	0	0	Feburar	2009	Feld3
25.2.2009	0	0	-2.1	Feburar	2009	Feld3
26.2.2009	0	24	2.1	Feburar	2009	Feld3
27.2.2009	0	42	0.6	Feburar	2009	Feld3
28.2.2009	0	0	-0.8	Feburar	2009	Feld3
1.3.2009	0	12	3.1	März	2009	Feld3
2.3.2009	0	0	0.6	März	2009	Feld3
3.3.2009	0	78	2.2	März	2009	Feld3
4.3.2009	0	114	-3.1	März	2009	Feld3
5.3.2009	0	48	-1.8	März	2009	Feld3
6.3.2009	0	0	3.1	März	2009	Feld3
7.3.2009	0	0	2.6	März	2009	Feld3
8.3.2009	0	0	-3.2	März	2009	Feld3
9.3.2009	0	408	-1.1	März	2009	Feld3
10.3.2009	0	126	0.9	März	2009	Feld3
11.3.2009	0	36	-1.4	März	2009	Feld3
12.3.2009	0	66	-0.4	März	2009	Feld3
13.3.2009	0	24	2.8	März	2009	Feld3
14.3.2009	0	288	-2.2	März	2009	Feld3
15.3.2009	0	0	4.2	März	2009	Feld3
16.3.2009	0	66	4.7	März	2009	Feld3
17.3.2009	0	396	3.2	März	2009	Feld3
18.3.2009	0	480	-1.4	März	2009	Feld3
19.3.2009	0	528	2.1	März	2009	Feld3
20.3.2009	0	534	-5.2	März	2009	Feld3
21.3.2009	0	240	-4.7	März	2009	Feld3
22.3.2009	0	84	-1.5	März	2009	Feld3
23.3.2009	0	0	4.6	März	2009	Feld3
24.3.2009	0	246	0.6	März	2009	Feld3
25.3.2009	0	264	-6.4	März	2009	Feld3
26.3.2009	0	24	1.1	März	2009	Feld3
27.3.2009	0	66	4.3	März	2009	Feld3
28.3.2009	0	18	-0.8	März	2009	Feld3
29.3.2009	0	300	-0.4	März	2009	Feld3
30.3.2009	0	228	3.3	März	2009	Feld3
31.3.2009	0	678	-3.1	März	2009	Feld3
1.4.2009	0	702	-2.5	April	2009	Feld3
2.4.2009	0	714	0.2	April	2009	Feld3
3.4.2009	0	720	0.7	April	2009	Feld3
