"versuch_id"	"accession"	"plant_name"	"LT50NAC"	"LT50ACC"	"glucose"	"fructose"	"sucrose"	"raffinose"	"amino_acids"	"malate"	"fumarate"	"proline"	"anthoscore"	"antho_value_en"	"bbch_id"	"rank_bbch_id"	"percent_bbch_id"	"norm_bbch_id"	"bbch_categories"	"glucose_positive"	"fructose_positive"	"sucrose_positive"	"raffinose_positive"	"amino_acids_positive"	"malate_positive"	"fumarate_positive"	"proline_positive"	"flowering_state"	"vegetative_state"	"capacity"
"26"	119	"C24"	"[At.C24.n].728.1-6"	-4.612	-5.93	30.913808	13.774652	12.21819	1.5785	10.04418864	17.6138922	4.312033784	0.09135331	1	"very low"	63	153	96.2264150943396	1	"flowering"	30.913808	13.774652	12.21819	1.5785	10.04418864	17.6138922	4.312033784	0.09135331	"flowering"	"non-vegetative"	-1.318
"27"	119	"C24"	"[At.C24.n].728.1-7"	-4.612	-5.93	17.386606	8.00905	9.42826	0.82188	30.98686175	20.18883182	4.506651704	0.482784898	1	"very low"	61	144.5	90.8805031446541	0.845454545454545	"flowering"	17.386606	8.00905	9.42826	0.82188	30.98686175	20.18883182	4.506651704	0.482784898	"flowering"	"non-vegetative"	-1.318
"28"	119	"Can-0"	"[At.Can-0.n].53-3"	-4.276	-5.774	16.417988	8.609722	12.885232	1.308418	16.55436868	22.7815808	12.3235819	0.13124811	2	"low"	59	132.5	83.3333333333333	0.627272727272727	"generative buds"	16.417988	8.609722	12.885232	1.308418	16.55436868	22.7815808	12.3235819	0.13124811	"non-flowering"	"non-vegetative"	-1.498
"29"	119	"Can-0"	"[At.Can-0.n].53-4"	-4.276	-5.774	7.548922	3.835018	6.695752	0.898512	11.67740736	13.17915268	6.047752744	0.063600406	4	"high"	53	53	33.3333333333333	-0.818181818181818	"generative buds"	7.548922	3.835018	6.695752	0.898512	11.67740736	13.17915268	6.047752744	0.063600406	"non-flowering"	"non-vegetative"	-1.498
"30"	119	"Cl-0"	"[At.Cl-0.n].432-3"	NA	NA	32.807748	20.736048	23.457822	4.588658	9.844737662	12.92330608	1.394302388	0.082102342	5	"very high"	53	53	33.3333333333333	-0.818181818181818	"generative buds"	32.807748	20.736048	23.457822	4.588658	9.844737662	12.92330608	1.394302388	0.082102342	"non-flowering"	"non-vegetative"	NA
"31"	119	"Cl-0"	"[At.Cl-0.n].432-4"	NA	NA	14.600388	10.596664	15.319526	2.273276	15.67244814	20.58525896	8.457164937	0.097713351	3	"intermediate"	53	53	33.3333333333333	-0.818181818181818	"generative buds"	14.600388	10.596664	15.319526	2.273276	15.67244814	20.58525896	8.457164937	0.097713351	"non-flowering"	"non-vegetative"	NA
"32"	119	"Co"	"[At.Co.n].2.11-3"	-4.608	-6.497	25.859626	8.243376	15.315594	1.292006	20.81266951	21.46425598	7.692985031	0.174612023	2	"low"	63	153	96.2264150943396	1	"flowering"	25.859626	8.243376	15.315594	1.292006	20.81266951	21.46425598	7.692985031	0.174612023	"flowering"	"non-vegetative"	-1.889
"33"	119	"Co"	"[At.Co.n].2.11-4"	-4.608	-6.497	11.590762	6.289456	11.170028	0.723094	19.81510155	15.76270422	11.75354807	0.252667066	1	"very low"	63	153	96.2264150943396	1	"flowering"	11.590762	6.289456	11.170028	0.723094	19.81510155	15.76270422	11.75354807	0.252667066	"flowering"	"non-vegetative"	-1.889
"34"	119	"Col-0"	"[At.Col-0.NULL].84-3"	-5.341	-9.675	21.990614	11.809324	13.656664	2.313956	11.40534943	18.15406504	4.709401292	0.085571455	4	"high"	55	98	61.6352201257862	0	"generative buds"	21.990614	11.809324	13.656664	2.313956	11.40534943	18.15406504	4.709401292	0.085571455	"non-flowering"	"non-vegetative"	-4.334
"35"	119	"Col-0"	"[At.Col-0.NULL].84-4"	-5.341	-9.675	26.27193	14.242622	18.14381	3.28021	9.618708229	20.77745672	7.486365903	0.081524156	5	"very high"	55	98	61.6352201257862	0	"generative buds"	26.27193	14.242622	18.14381	3.28021	9.618708229	20.77745672	7.486365903	0.081524156	"non-flowering"	"non-vegetative"	-4.334
