"accession"	"plant_name"	"yLT50ACC"	"yLT50NAC"	"glc"	"frc"	"suc"	"raf"	"aa"	"mal"	"fum"	"pro"	"antho"	"bbch"	"anthoscore"
"61"	"N13"	"[At.N13. n].2-3"	-11.9	-5.523	20.483418	14.951824	16.059132	3.065118	13.92441379	15.5006237	8.112976095	0.146859119	3.06	55	3
"62"	"N13"	"[At.N13. n].2-4"	-11.9	-5.523	22.025612	15.591	18.450858	2.4959	16.7571061	15.09470202	7.930535959	0.136451779	2.61	53	2
"63"	"N14"	"[At.N14.NULL].31-3"	-12.1	-7.346	21.233794	14.008808	14.723528	2.392108	9.396554738	24.55383065	2.956213679	0.058974922	3.1725	55	3
"64"	"N14"	"[At.N14.NULL].31-4"	-12.1	-7.346	25.7936	21.839422	16.98822	2.166774	13.30306739	26.00722642	0.360585263	0.09135331	0.9	52	1
"65"	"N6"	"[At.N6.n].2-3"	-11.83	-7.344	17.403744	11.74214	12.325966	1.649164	12.72300684	19.82008467	11.62358256	0.123731698	1.575	55	2
"66"	"N6"	"[At.N6.n].2-4"	-11.83	-7.344	18.63175	16.851272	24.609822	2.190868	12.76055081	21.20419026	9.201118207	0.164204684	1.8675	53	3
"67"	"N7"	"[At.N7.n].2-3"	-10.14	-6.676	24.531232	13.621424	13.927614	1.550478	19.80567623	19.5066073	16.4872115	0.137029965	1.4625	52	3
"68"	"N7"	"[At.N7.n].2-4"	-10.14	-6.676	26.320014	16.004768	16.666334	2.924828	8.672012789	15.07082427	3.075686853	0.067647704	6.435	53	5
"69"	"Nd-0"	"[At.Nd-0.n].138-3"	-10.18	-6.358	21.852112	13.676292	14.554596	2.118024	16.68996678	23.67696019	18.24429157	0.186753918	1.485	55	3
"70"	"Nd-0"	"[At.Nd-0.n].138-4"	-10.18	-6.358	16.305534	13.167448	14.879702	1.27161	20.39503517	28.28419978	18.74493126	0.311063802	0.6975	51	1
"71"	"Nok-1"	"[At.Nok-1.n].2-3"	-11.76	-6.657	18.40375	12.709264	13.047078	1.453384	13.02711297	24.81038553	11.05528078	0.124888069	2.1375	53	3
"72"	"Nok-1"	"[At.Nok-1.n].2-4"	-11.76	-6.657	14.328832	10.35435	14.819128	2.196418	10.73880818	21.89584121	3.131787571	0.093666052	3.5775	50	3
"73"	"Oy-1"	"[At.Oy-1.n].32.1-3"	-11.48	-7.199	6.512374	5.685926	12.808372	1.99682	12.0866366	13.33242285	1.658924382	0.173455652	6.1875	52	5
"74"	"Oy-1"	"[At.Oy-1.n].32.1-4"	-11.48	-7.199	17.641146	12.686228	17.661422	2.67987	13.82867667	20.85215741	2.810806485	0.129513553	6.0975	53	4
"75"	"Pi-0"	"[At.Pi-0. n].2-3"	-8.378	-6.607	24.74425	18.346688	13.60233	2.324844	12.67088488	25.98370077	8.95007741	0.12604444	2.3175	59	4
"76"	"Pi-0"	"[At.Pi-0. n].2-4"	-8.378	-6.607	13.481812	11.018844	14.02586	2.504468	13.76767807	19.26076559	3.001378341	0.111589803	4.05	55	4
"77"	"Pyl-1"	"[At.Pyl-1.n].2.1-3"	-6.964	-5.307	22.763856	22.074522	31.54027	1.587724	16.52295012	18.55002253	6.852796342	0.200630371	3.96	53	3
"78"	"Pyl-1"	"[At.Pyl-1.n].2.1-4"	-6.964	-5.307	20.491462	21.601258	34.151624	1.50521	19.12584057	19.48348445	5.335939998	0.232430573	3.0375	55	3
"79"	"Ran"	"[At.Ran.n].2-3"	-6.344	-5.885	20.827306	12.010016	11.58433	1.546004	12.77932279	24.43221195	10.84650113	0.209881339	2.6775	61	3
"80"	"Ran"	"[At.Ran.n].2-4"	-6.344	-5.885	12.831578	8.843362	9.208596	1.01997	7.556956966	11.3521773	2.28104575	0.078055043	4.05	61	3
"81"	"Ri-0"	"[At.Ri-0.n].2-3"	-9.009	-5.985	14.352534	5.218044	7.760092	1.465132	9.246435486	13.48262635	1.796324767	0.059553107	4.095	59	3
"82"	"Ri-0"	"[At.Ri-0.n].2-4"	-9.009	-5.985	16.598598	6.096402	13.0077	1.242288	12.52026942	24.36364538	7.966795873	0.118528029	2.925	55	4
"83"	"Rld-2"	"[At.Rld-2. n].2-3"	-9.082	-4.777	14.344126	6.870022	17.936638	1.245392	18.40468576	29.86230351	16.22635917	0.263652591	1.4625	55	2
"84"	"Rld-2"	"[At.Rld-2. n].2-4"	-9.082	-4.777	20.243778	11.518256	18.38807	1.61785	16.61154408	23.84048904	17.28110761	0.252088881	1.305	55	3
"85"	"Rsch-0"	"[At.Rsch-0.n].2.11-3"	-10.98	-5.23	25.96457	23.436726	33.38183	3.855986	11.0726499	17.52295434	2.215189967	0.129513553	4.995	55	4
"86"	"Rsch-0"	"[At.Rsch-0.n].2.11-4"	-10.98	-5.23	16.626216	14.395968	20.087374	3.151856	10.27176053	15.62257389	1.81639173	0.047411212	3.96	52	4
"87"	"Rubezhnoe-1"	"[At.Rubezhnoe-1.n].2-3"	-10.71	-6.188	19.130362	10.84389	13.218338	2.226536	11.60982821	9.115409881	3.304307306	0.080367785	3.9375	53	3
"88"	"Rubezhnoe-1"	"[At.Rubezhnoe-1.n].2-4"	-10.71	-6.188	21.444316	11.474818	11.283546	2.037012	9.242681089	11.46075865	6.623693795	0.073429559	2.925	55	3
"89"	"Sah-0"	"[At.Sah-0. n].2-3"	-5.401	-4.713	15.35881	9.792608	12.71103	2.314722	12.1765306	17.00218882	5.582396235	0.13124811	3.1275	55	3
"90"	"Sah-0"	"[At.Sah-0. n].2-4"	-5.401	-4.713	13.438722	13.555884	15.271148	1.729352	8.641631729	12.98094169	1.183020263	0.09135331	5.1525	55	3
"91"	"Sap-0"	"[At.Sap-0.n].3-3"	-8.679	-5.372	20.114866	10.069434	14.255894	1.826726	9.940998877	21.47991583	6.7137733	0.162470127	2.835	55	4
"92"	"Sap-0"	"[At.Sap-0.n].3-4"	-8.679	-5.372	18.04275	9.84518	11.098632	1.581402	5.70416219	15.12245011	3.249347152	0.076898672	4.0725	55	5
"93"	"Sav-0"	"[At.Sav-0.NULL].31-3"	-9.203	-5.904	17.779804	12.681046	13.306464	1.475846	14.2764009	24.5514078	12.0417263	0.141077263	1.305	53	2
"94"	"Sav-0"	"[At.Sav-0.NULL].31-4"	-9.203	-5.904	15.07913	10.575052	11.573806	3.36665	8.961661041	20.86949561	2.01321125	0.071116817	6.66	55	4
"95"	"Sha"	"[At.Sha.n].3.1-3"	-8.967	-6.278	11.721208	7.584808	12.837962	0.777164	24.12785537	12.17869601	6.518931611	0.349224046	1.1925	55	2
"96"	"Sha"	"[At.Sha.n].3.1-4"	-8.967	-6.278	14.360418	12.29722	12.328992	0.78911	11.68926384	13.20626842	15.22651413	0.041051171	0.855	51	3
"97"	"Sp-0"	"[At.Sp-0.n].2-3"	-10.25	-5.278	14.624412	9.424638	15.284776	1.578858	11.78816206	21.56848979	7.271014112	0.149750046	3.15	55	4
"98"	"Sp-0"	"[At.Sp-0.n].2-4"	-10.25	-5.278	20.86964	17.276696	13.608664	1.610124	7.785975166	16.52349642	6.81491377	0.158422829	5.5125	59	5
"99"	"St-0"	"[At.St-0.n].23-1"	-10.34	-6.259	21.231766	16.20775	21.557374	3.421248	13.39128945	16.0836933	2.317305665	0.071116817	3.8925	53	3
